,PBR2015,PER2015,PSR2015,EBIT/EV2015,P_CF2015,start_price2015,end_price2015,PBR2016,PER2016,PSR2016,EBIT/EV2016,P_CF2016,start_price2016,end_price2016,PBR2017,PER2017,PSR2017,EBIT/EV2017,P_CF2017,start_price2017,end_price2017,PBR2018,PER2018,PSR2018,EBIT/EV2018,P_CF2018,start_price2018,end_price2018,PBR2019,PER2019,PSR2019,EBIT/EV2019,P_CF2019,start_price2019,end_price2019,PBR2020,PER2020,PSR2020,EBIT/EV2020,P_CF2020,start_price2020,end_price2020,PBR2021,PER2021,PSR2021,EBIT/EV2021,P_CF2021,start_price2021,end_price2021,PBR2022,PER2022,PSR2022,EBIT/EV2022,P_CF2022,start_price2022,end_price2022
017390,0.23765357817331706,14.142287630559144,0.38841174246290877,0.181119408102439,9.275998939363095,82000.0,81200.0,0.1950688091201054,23.77162270482612,0.3237958353900294,0.15236296797044335,-15.341411563509968,81200.0,86500.0,0.18371158040170374,20.947170607892968,0.3022328612605829,0.1785470227514451,54.08218935790558,86500.0,83700.0,0.16251547004725775,11.229219171381875,0.39604756675915054,-0.050852298327359616,-6.198594549772639,83700.0,62000.0,0.171911327654961,7.358422580295101,0.2577333036357499,0.05756161092258064,-16.86579670792624,62000.0,89100.0,0.28051147032180773,-134.31571750629294,0.43803140028366666,0.05152138725028058,87.26114983837331,89100.0,184000.0,0.6789445173038807,11.988980603443009,0.8960316401679985,0.04903211176195652,47.59646026060416,184000.0,498000.0,1.6807909677202744,283.9375378559152,2.0606312570769982,0.03030015522690763,-3297.9517065647124,498000.0,57900.0
014910,0.024324813651154027,1.4475208572853542,0.039755527048871,1.7695377251178166,-6.734121928570386,2535.0,2880.0,0.022906848537478767,2.791491695908545,0.038023209306512026,1.297483705249592,46.09806232837222,2880.0,2540.0,0.021024512585413383,2.397257979662793,0.03458844881419186,1.5601386996454831,27.375312848414936,2540.0,2945.0,0.022285703250694518,1.539859842990061,0.054309897657050694,-0.37083349233758983,-16.562799969859977,2945.0,1540.0,0.016641992407697582,0.7123370774012379,0.024950046869079534,0.5946098708158336,-56.76789280798272,1540.0,2150.0,0.026380509213007282,-12.63162971218784,0.04119436320202195,0.5478415891786318,74.29137922215861,2150.0,2465.0,0.03544909726510832,0.625969469800915,0.046783664873035966,0.939095379598795,10.213793883151762,2465.0,1632.0,0.021467244915375893,3.6264810930588998,0.026318606373730118,2.3723690406788673,-65.31319826493015,1632.0,1488.0
100250,0.12457533801124138,7.4132284284155165,0.20360107546777417,0.3455232480147375,31.283206124918127,3845.0,3195.0,0.08580407045941989,10.456320509158312,0.1424266688231361,0.3463852304076355,-61.13211258449168,3195.0,2745.0,0.0651730430549567,7.431163832582604,0.1072193447821216,0.5032932971693157,46.103768339148615,2745.0,2545.0,0.055241092870724505,3.8169556346337092,0.13462164808190127,-0.1496039404034665,-33.50162072369715,2545.0,2160.0,0.06695326816756296,2.865840471534111,0.10037783565182255,0.14779701165436523,34.07822621420384,2160.0,2900.0,0.10206483630676016,-48.87112710570346,0.15937887714853166,0.1415996009356085,16.54656793896536,2900.0,3790.0,0.15633668451764454,2.7606342352268025,0.20632409906342034,0.2129383999367999,33.71766455592298,3790.0,3090.0,0.11658644697546738,19.695053898631276,0.1429337028833798,0.43682802372925167,86.65135467516288,3090.0,3270.0
014680,0.4386610122690954,26.10383675055606,0.7169304558155084,0.09812514494853918,-166.15947826206713,67000.0,76300.0,0.4140760101375883,50.460443822415165,0.6873271448277463,0.07177731138329754,68.19386485752968,76300.0,68400.0,0.32817104210091763,37.41873425957527,0.5398901518355655,0.09995140191437145,30.807074758988293,68400.0,82700.0,0.3627425390029295,25.064170642111534,0.8839976888992215,-0.022782784694539187,-26.37029217591124,82700.0,75500.0,0.4729154310553601,20.242479852358525,0.709005381139614,0.02092444506108908,19.945567544905295,75500.0,259500.0,1.8521206509742485,-886.8404342198072,2.892170510210593,0.007803131012546757,71.6157344564431,259500.0,236500.0,1.9783658149288212,34.9345031548144,2.6109325884865475,0.016827061608830535,-83.51452041053585,236500.0,231500.0,1.7713090827028375,299.2288448614304,2.1716054713885793,0.028751745092503736,79.47255441071209,231500.0,202500.0
004020,4.231094136262499,251.78392316634097,6.91513529323679,0.01017317838505956,58.484934074448844,54700.0,56600.0,3.628967602196787,442.2359937325737,6.023744142679295,0.008190004974970692,-90.92212466284121,56600.0,50300.0,2.851171014642514,325.0963578093641,4.690600188700215,0.011504450472185937,200.78698964804286,50300.0,46700.0,2.420031323744764,167.21523266700177,5.897577116635935,-0.0034149496680340673,-729.853054920724,46700.0,16900.0,1.2506459063590751,53.532138939540545,1.8749962874546466,0.007912305877582291,14.677367611631066,16900.0,46350.0,3.894552076702603,-1864.806298109037,6.081519938128102,0.0037109120140028516,4219.795893521856,46350.0,40750.0,4.013090300418255,70.86420251633828,5.296244085312539,0.008295373629928517,11.727457700805939,40750.0,34950.0,3.148229610556844,531.8332745677656,3.8596949082656145,0.016176782994205007,14.67114548695532,34950.0,32650.0
001380,0.05710875140349359,3.3984272182146533,0.09333631672204513,0.7537141743488501,35.13986989253387,2360.0,3755.0,0.07531854152419547,9.17852505414417,0.12502167918690532,0.394607517810889,7891.889263772378,3755.0,2750.0,0.05252298930134118,5.988778798407896,0.08640812573596539,0.6245104507951026,72.30059065437952,2750.0,2265.0,0.03954884208145105,2.732679021743863,0.09637988721901915,-0.20896402348857365,27.24168049144629,2265.0,935.0,0.02331421148773446,0.9979320303863056,0.03495318679904891,0.42444038739483575,26.12645368157096,935.0,3175.0,0.08989032821636546,-43.041676397069075,0.14036782986236357,0.1607774760351164,30.004594683341328,3175.0,1995.0,0.06619964775914103,1.1689707666994438,0.08736645992181703,0.5028740269696483,-11.735314059026246,1995.0,1250.0,0.037939420394419075,6.409140589970525,0.04651331250676702,1.342356490859839,8.195454952232181,1250.0,2150.0
009770,0.054340889037761485,3.2337172820173694,0.08881263038567748,0.792104733182905,12.553442427018302,37500.0,44300.0,0.053210886712198514,6.484425308265528,0.0883250561303843,0.5585560503201611,3132.4793138707423,44300.0,37900.0,0.04024617416338361,4.588951195520563,0.06621093970012121,0.8150130144675906,-24.173707539876947,37900.0,36500.0,0.03543456300881057,2.4483975227242607,0.08635345579551511,-0.2332266709088346,-34.71361959347463,36500.0,22200.0,0.030777316155927714,1.3173797285610351,0.046142040074462064,0.3215190338730452,18.224162348553175,22200.0,30600.0,0.04816807756170489,-23.064047581287753,0.07521664065687068,0.30003979444854373,9.384590242416696,30600.0,28450.0,0.0524884441631136,0.9268547325124317,0.06927120775656975,0.6342364301970719,58.51411581616387,28450.0,24800.0,0.041850534607949005,7.0698486502769144,0.05130829555533084,1.2169074470134822,-9.726495481860935,24800.0,25200.0
002620,0.48289178334760446,28.735921196839914,0.7892195035846643,0.08913731170528817,149.700128935641,38845.0,47569.0,0.4901680387199161,59.73322814125637,0.813632739620027,0.06063484431505742,62.48651278559835,47569.0,31700.0,0.05851269985699035,6.671737861885186,0.09626209006090444,0.5605818190897967,-6.337605229719553,31700.0,24200.0,0.15011039083529867,10.372073982256587,0.3658165897578702,-0.05505471752932688,11.951271487521076,24200.0,9260.0,0.0820256972881488,3.510994600082403,0.12297475817027981,0.12063893734297897,-7.447361843119864,9260.0,18000.0,0.1810387594756444,-86.68576314374674,0.28270024476275185,0.07983008794611053,-272.9032296312655,18000.0,13850.0,0.16326473036168437,2.8829714883116253,0.21546733260103745,0.2039024802164139,26.34520815829314,13850.0,11070.0,0.11935981118339661,20.163560821800438,0.14633381692722722,0.4266781818853355,28.618357343329677,11070.0,10940.0
011390,0.019740317703098746,1.1747067013324932,0.032262805612967856,2.1804955755813955,12.587104716124687,32250.0,44500.0,0.022578013493034465,2.751418951096525,0.037477374129675514,1.3163807668539327,50.75500960596233,44500.0,39150.0,0.01756087315976739,2.0023267193982757,0.02889024703671566,1.8678544869189984,-7.66828933397166,39150.0,132000.0,0.054129883872944685,3.740175194115322,0.13191364976270373,-0.15267509505567034,21.279570846062455,132000.0,100000.0,0.058560761936657685,2.5066110467069764,0.08779560278688772,0.16897821388257575,51.494081011395245,100000.0,131000.0,0.08710400619177912,-41.707517613805926,0.13601686148067635,0.16592049806268794,27.821624723727517,131000.0,109000.0,0.08494481491276727,1.4999778514985915,0.1121052455542362,0.39190247794168753,-14.399941675432231,109000.0,74200.0,0.05289104917024724,8.934932757513176,0.06484384509016851,0.9628893361895573,-20.147809548825116,74200.0,57300.0
028260,15.393347426322078,916.0272215275086,25.158286873485785,0.002796251797615816,14.928543964878159,140000.0,127500.0,11.62027801901189,1416.079105824941,19.288566150591965,0.0025577066802853,36.329066515997155,127500.0,140500.0,11.320647840075372,1290.8034495126178,18.624148682124595,0.0028974627767829712,90.45977916848658,140500.0,108000.0,7.955501032626977,549.695759348607,19.387427088668034,-0.0010388139140150784,-228.6091391664303,108000.0,84900.0,8.9308958702139,382.274436071751,13.3893986420544,0.0011080067553650853,-80.8754977673727,84900.0,124500.0,14.65046969583584,-7015.001371398148,22.87737377839944,0.0009864762284517942,-77.05916466450749,124500.0,112500.0,15.515946073354433,273.98465084630084,20.477046731409732,0.002145540033152128,-142.1366864204013,112500.0,108200.0,13.649630657917136,2305.844448288713,16.734297197830692,0.003731106613963135,10.391806028186478,108200.0,157600.0
